Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
SENTER LUBY 8908,MLUSEN07,MLUSEN07,Rumah tangga,PCS,LUBY,Area 04,tidak,25400,32000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 8916 A,MLUSEN06,MLUSEN06,Rumah tangga,PCS,LUBY,Area 04,tidak,34300,43000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SEPATU BOOT ANDO ALL SIZE,BOOTANDO,BOOTANDO,Alat tukang,PSG,,,tidak,0,120000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SERAT FIBER,SERFIBER,SERFIBER,Alat tukang,PCS,,,tidak,0,3000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SERBET KOTAK KOTAK,SERBETKT,SERBETKT,Plastik,PCS,,,ya,2100,4000,0,,0,0,12,5,,,1,,,,,,,,,0,0
SERBET PF888 55 X 65,SRPF5565,SRPF5565,Plastik,PCS,,,ya,11250,16000,0,,0,0,6,5,,,1,,,,,,,,,0,0
SETRIKA MASPION EX-1010 BB,MNOSET01,MNOSET01,Rumah tangga,PCS,,Area 04,tidak,115500,132000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SETRIKA MASPION HA-110,MNOSET02,MNOSET02,Rumah tangga,PCS,,Area 04,tidak,128000,140000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SETRIKA MASPION HA-340,MNOSET03,MNOSET03,Rumah tangga,PCS,,Area 04,tidak,124500,150000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SHOWER KOTAK,MSHWKTK,MNOSHO01,Sanitary,PCS,,,ya,0,65000,0,,0,6,0,5,,,1,,,,,,,,,0,0
SHOWER KOTAK TEMBOK SKL,SHW KT,MSKSHO01,Umum,PCS,SKL,,tidak,0,60000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SHOWER TIANG IGM IS-054,IGMIS054,IGMIS054,Sanitary,PCS,,,tidak,0,380000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SIFON WASTAFEL PVC,MNOSIF01,MNOSIF01,Umum,PCS,,Area 03,tidak,0,30000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
SIFON WASTAFEL STAINLESS,MNOSIF03,MNOSIF03,Umum,PCS,,,tidak,0,75000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
"SIFONE PVC GLX 1.1/4""",SF PVC 1.1/4,MGLSIF01,Umum,PCS,GLX,,tidak,0,25000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIFONE WASTAFEL EXECUTIVE KE-935,SF KE-935,MECSIF01,Umum,PCS,ECEXUTIVE,,tidak,0,43000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKAT BAJA 6 BARIS,SIKBJ6BR,SIKBJ6BR,Alat tukang,PCS,,,tidak,0,7000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SIKAT BAJA BIASA,MNOSIK01,MNOSIK01,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,23,3,,,1,,,,,,,,,0,0
SIKAT BAJA GG PLASTIK HITAM TOKIO 6 JL,SKTBJ PVC HTM,MNOSIK06,Umum,PCS,,,tidak,0,42750,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKAT BAJA KARAT KUNINGAN,MNOSIK11,MNOSIK11,Umum,PCS,,Area 03,tidak,0,7000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
SIKAT BAJA KUNING BENGKOK PLASTIK TOKIO,SKTBJ KNG PVC,MNOSIK05,Umum,PCS,,,tidak,0,50000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKAT BAJA MINI 3 PC KOALA,MKOSIK01,MKOSIK01,Alat tukang,PCS,KOALA,,tidak,0,0,0,0,0,0,16,3,,,1,,,,,,,,,0,0
SIKAT BAJU ENTER,SIKBJENT,SIKBJENT,Plastik,PCS,,,ya,2500,5000,0,,0,0,11,5,,,1,,,,,,,,,0,0
SIKAT DORONG + WIPER HYPER,MNOSIK16,MNOSIK16,Plastik,PCS,,,ya,28600,43000,43000,,0,6,0,3,,,1,,,,,,,,,28600,171600
SIKAT DORONG TANGGUNG HYPER,MNOSIK17,MNOSIK17,Plastik,PCS,,,ya,13845,23000,23000,,0,12,0,3,,,1,,,,,,,,,13845,166140
SIKAT GAGANG HYPER,MNOSIK15,MNOSIK15,Plastik,PCS,,,ya,9490,16000,16000,,0,4,0,3,,,1,,,,,,,,,9490,37960
SIKAT GAGANG PREM,MNOSIK14,MNOSIK14,Plastik,PCS,,,ya,6110,11000,11000,,0,3,0,3,,,1,,,,,,,,,6110,18330
